Name,Discord,Playing Launch,Playing Beta,UBG Discord,AE Discord,UBG Guilded,AE Discord,Guild,Notes,Discord Id
Darkstar,Darkstar#5283,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,Came from UBG. i think he played CB with us before.,192420994697265152
Proxcy,Proxcy#5460,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,394382851476422669
Ardez,Ardez#9999,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,124692818915491844
Ratrap,Retrap#1212,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,,640770982948110367
H2OBeatZz,[UBG] H2OBeatZz#6259,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,171624708490526721
Heavy Hitta / BigStickTrev,Trev#6937,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,Unknown / Does not want to play with us.,189507128719966218
DarkMule,RustyNail#7133,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,CB member. Internally applied.,375399291440594944
JJffcc340,JJffcc340#2837,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,Sky will handle him,868193757718278176
Kick,Kick#3516,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,,1.20951E+17
Rawrtiludrop,Nir Ezakuzus#3950,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Unbroken,CB member. Internally applied.,272545812028850176
Larry,Larry#8398,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,,150483759693561856
Myles,Myles#4166,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,,118877173447655425
Axolotlo,Bougainvillea#1964,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Unbroken,,266377795591077888
DixLeurres,Alexandre#9804,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,,191612597877997569
,Drew2Ezy#0958,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,Firenation - Wants to create his own company,492435650985984004
EggtoastBacon,♈TiMicLeEGG#5588,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,,205522508042993665
HardKnock,HardKnock#6256,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,Rightlend's friend,867479749273976882
Saint Vincent,JasonGreen#1225,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,371517149396598784
Knut,Knut#2574,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,CB member. Internally applied.,706028730845364244
Racattack,Racattack#1617,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,875780807317413938
RagingToby,RagingToby#7195,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,Abruptly left our server.,366382026473078784
Roxeth,Roxeth#7549,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,Bromatic's friend ,239801004713836545
SojuNinja,SojuNinja#6447,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,,150899419925970944
Don'tCatchHerPeas,<BigTuck/>#4483,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,Recruited in game. Friend of a Friends CB,97097626264010752
Kinky,Kinky#9123,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,Bromatic's friend ,394399549407363072
Aero,Aero#4050,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,Certified Aim God / Bromatic's friend ,150753518225981440
PetKitty,PetKitty#9600,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Unbroken,"From CB, Came from a known house called as Gaia.",334883231918718977
Tgore,tgoesham#3283,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Unbroken,Friend of Kinky#9123,138714119762083840
TheRealSigmund,Sigmund Ringeck#9043,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Unbroken,Recruited through Pax.,233357815714938880
clearScreen,ClearScreen#8745,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,PAX,Went to PAX,194442289425154049
Drache,Drache#8218,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Unbroken,Friends of Poh and recruited through PAX (DEA),154494682443939840
Coraxes,Coraxes#6528,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,Friends of Poh and recruited through PAX (DEA),153879426042560512
co1aa,co1aa#0783,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Unbroken,Friends of Poh and recruited through PAX (DEA),191712545017561088
dunka,dunka#1582,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Unbroken,Friends of Poh and recruited through PAX (DEA),109494171491913728
Genton,Genton#2921,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,Friends of Poh and recruited through PAX (DEA),164915606028550145
Magicker,Magicker#2630,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,Friends of Poh and recruited through PAX (DEA),872919614437347418
Mostkillingest,Mostkillingest#6754,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Unbroken,Friends of Poh and recruited through PAX (DEA),133715318265610240
Jygaboar,Jygaboar #1173,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Unbroken,Friends of Poh and recruited through PAX (DEA),233848783681748993
Future,Future#4122,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Unbroken,Friends of Poh and recruited through PAX (DEA),132641340868526080
Argus,Argus#0365,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,Friends of Poh and recruited through PAX (DEA),165172281373491210
Brico,Brico#6265,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,Friends of Poh and recruited through PAX (DEA),161658010572161024
lics,lics#3162,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,Friends of Poh and recruited through PAX (DEA),160981204244496386
slowbroz,slowbroz#1482,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,CB member. Internally applied.,726585135964749916
Its_Crusader,Its_Crusader#2787,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Unbroken,Came from CB game. Plays for another house in CB. Interviewed by PaulWeezy,325481140628619265
KiXK,Kixk230#7924,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Unbroken,CB member. Internally applied.,503716929748336652
MightySusanoo,MightySusanoo#5659,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,CB member and also friends of KremeFresh and ex HT,591700497090478110
RandyMarsh,RandyMarsh#3582,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,"CB Member, Internally applied",541806709438677013
Lexlor,Lexlor#0176,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,Trying to findout how he got in,857851600391110706
Yourlordship,Quiet_Hero_William#9880,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,,434363078084132864
Maikis,xRevan5#9890,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,,209069324097421314
 Nakawe`,Nakawe#2461,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,372867873741209603
 Kaifus,kaifus#0623,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,280447104726466561
 SirPhaba,SirPhaba#8383,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,415217864631648267
 Illune,Illune#8454,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,154339438200225793
 ZeroCool208,ZeroCool#9517,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,426040195599695893
 Darktide,ZeBearDrew#4645,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,223414196027654145
 Kai,iAchilles#0040,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,340947363495542795
 Niba,Nibathy#7104,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,140986188293996544
 Tramlok,Tramlok#7123,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,275762881008631808
 Sui,Sui#2958,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,269990832025763841
 Incandescent Anon,Incandescent Anon (John)#4789,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,425453035053907969
